trans_date_trans_time,merchant,category,amt,city,state,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud
04-01-2019 00:58,"stokes, christiansen and sipes",grocery_net,14.37,wales,ak,64.7556,-165.6723,145,"administrator, education",09-11-1939,a3806e984cec6ac0096d8184c64ad3a1,65.654142,-164.722603,1
04-01-2019 15:06,predovic inc,shopping_net,966.11,wales,ak,64.7556,-165.6723,145,"administrator, education",09-11-1939,a59185fe1b9ccf21323f581d7477573f,65.468863,-165.473127,1
04-01-2019 22:37,wisozk and sons,misc_pos,49.61,wales,ak,64.7556,-165.6723,145,"administrator, education",09-11-1939,86ba3a888b42cd3925881fa34177b4e0,65.347667,-165.914542,1
04-01-2019 23:06,murray-smitham,grocery_pos,295.26,wales,ak,64.7556,-165.6723,145,"administrator, education",09-11-1939,3a068fe1d856f0ecedbed33e4b5f4496,64.445035,-166.080207,1
04-01-2019 23:59,friesen lt,health_fitness,18.17,wales,ak,64.7556,-165.6723,145,"administrator, education",09-11-1939,891cdd1191028759dc20dc224347a0ff,65.447094,-165.446843,1
05-01-2019 03:15,"raynor, reinger and hagenes",gas_transport,20.45,wales,ak,64.7556,-165.6723,145,"administrator, education",09-11-1939,ef010a5f4f570d306a050a368ee2729d,64.088838,-165.104078,1
05-01-2019 03:21,heller-langosh,gas_transport,18.19,wales,ak,64.7556,-165.6723,145,"administrator, education",09-11-1939,8e2d2fae5319d31c887dddbc70627ac4,63.917785,-165.827621,1
05-01-2019 11:31,padberg-welch,grocery_pos,367.29,browning,mo,40.029,-93.1607,602,cytogeneticist,14-07-1954,5fbe827807ec9f557f6242bb48db0e51,39.167065,-93.705245,1
05-01-2019 18:03,mcglynn-heathcote,misc_net,768.15,wales,ak,64.7556,-165.6723,145,"administrator, education",09-11-1939,fba83e0a3adb530251295ab72a96b719,64.623325,-166.403973,1
05-01-2019 22:02,dooley-thompson,misc_net,849.49,wales,ak,64.7556,-165.6723,145,"administrator, education",09-11-1939,b87c92d4824758e704da572891697fed,65.266065,-164.865352,1
05-01-2019 22:05,"gottlieb, considine and schultz",shopping_net,1177.79,browning,mo,40.029,-93.1607,602,cytogeneticist,14-07-1954,f1c51701d8b5dd6ebfe7c1aebf0c4fe7,39.288305,-92.476947,1
05-01-2019 22:12,"moen, reinger and murphy",grocery_pos,307.09,wales,ak,64.7556,-165.6723,145,"administrator, education",09-11-1939,755e4e8350ec4a3e9309727574c97726,64.909145,-164.712087,1
05-01-2019 22:18,"hauck, dietrich and funk",kids_pets,4.58,wales,ak,64.7556,-165.6723,145,"administrator, education",09-11-1939,8fa7880cf01e6adc96e9654d69f3f035,65.052892,-166.067029,1
05-01-2019 22:32,pouros-haag,shopping_pos,730.78,wales,ak,64.7556,-165.6723,145,"administrator, education",09-11-1939,2396a5b8e277a4ce1d4fa939d6e7b19b,65.233866,-166.550779,1
05-01-2019 22:33,goyette inc,shopping_net,1006.4,wales,ak,64.7556,-165.6723,145,"administrator, education",09-11-1939,4d7e567247b6c4529ce4c32c03b2f040,65.220316,-165.005725,1
05-01-2019 22:38,"baumbach, strosin and nicolas",shopping_pos,830.72,wales,ak,64.7556,-165.6723,145,"administrator, education",09-11-1939,773a3305db095657e1860a39dda24cf2,65.710538,-165.986117,1
05-01-2019 23:17,pacocha-o'reilly,grocery_pos,311.92,wales,ak,64.7556,-165.6723,145,"administrator, education",09-11-1939,191b3dcec7a6a49438be93cfbeaea9c1,64.79501,-165.670735,1
05-01-2019 23:26,barrows plc,shopping_pos,762.93,browning,mo,40.029,-93.1607,602,cytogeneticist,14-07-1954,19b126ecf4c79997e9edc6f260c09880,40.205262,-93.499211,1
06-01-2019 18:39,fisher-schowalte,shopping_net,855.88,browning,mo,40.029,-93.1607,602,cytogeneticist,14-07-1954,bbae703c3794b7738d08739afbaef898,40.786018,-93.301092,1
